Product Name,Brand Name,Store Location,Product Price,Total Sold,Product Rating
VIVO Y27S NFC 8/256 GB 8/128 GB GARANSI RESMI Y17 S NOT Y22 Y27 Y36,VIVO,Jakarta Pusat,1993000,100,4.9
VIVO Y36 5G 8/256GB NFC 44W FLASHCHARGE DIMENSITY 6020 GARANSI RESMI,VIVO,Jakarta Utara,2918000,60,5.0
VIVO Y73S RAM 8GB ROM 256GB 5G SMARTPHONE GARANSI 1 TAHUN,VIVO,Jakarta Barat,1250000,80,4.4
VIVO V25E 8/256GB NO MINUS MULUS GARANSI RESMI,VIVO,Tangerang Selatan,2450000,1,5.0
OPPO A78 4G 8/256 GB GARANSI RESMI,OPPO,Bandung,2497000,1,5.0
VIVO Y36 5G 8/256GB NFC 44W FLASHCHARGE DIMENSITY 6020 GARANSI RESMI,VIVO,Jakarta Utara,2918000,60,5.0
VIVO V29E 5G 12/256GB 8/256GB NFC 100% ORIGINAL  GARANSI RESMI TERBARU,VIVO,Jakarta Utara,3749000,5,5.0
VIVO Y27S 8/128GB [+8GB EXTENDED RAM] NFC GARANSI RESMI VIVO 1 TAHUN,VIVO,Malang,2051500,7,4.8
VIVO V29E 5G 12/256GB 8/256GB NFC 100% ORIGINAL  GARANSI RESMI TERBARU,VIVO,Jakarta Utara,3749000,5,5.0
"OPPO A78 LTE (RAM 8GB, ROM 256GB, SNAPDRAGON 680)",OPPO,Malang,3599000,1,5.0
REALME 11 8/256 REALME11 4G NFC 8/256 GARANSI RESMI INDONESIA,REALME,Bekasi,3299000,20,4.9
REALME C51 4/64GB 4/128GB - GARANSI RESMI,REALME,Jakarta Barat,1440400,5,3.7
"VIVO Y27S 8/128 8/256 GB RAM 8GB ROM 256GB 128GB - BLACK, 8/128GB",VIVO,Jakarta Utara,2225000,9,5.0
VIVO V25E 8/256GB NO MINUS MULUS GARANSI RESMI,VIVO,Tangerang Selatan,2450000,1,5.0
OPPO A78 4G 8/256 GB GARANSI RESMI,OPPO,Bandung,2497000,1,5.0
OPPO RENO8 5G 8GB/256GB RENO 8 4500MAH FLAGSHIP SENSOR GARANSI RESMI,OPPO,Jakarta Pusat,3327000,100,4.9
 VIVO Y72 RAM 12 ROM 256GB 5G SMARTPHONE GARANSI 1TAHUN,VIVO,Jakarta Barat,1300000,7,5.0
VIVO Y27 6/128 VIVO Y 27 6/128 GARANSI RESMI INDONESIA,VIVO,Bekasi,2199000,1,5.0
"VIVO Y27S 8/128 8/256 GB RAM 8GB ROM 256GB 128GB - BLACK, 8/128GB",VIVO,Jakarta Utara,2225000,5,3.7
REDMI NOTE 10 5G 4/128GB EX DISPLAY / EX DEMO  ONLY,REDMI,Jakarta Utara,1699000,1,4.9
OPPO A78 5G 8/128 + A78 4G 8/256 RESMI. RAM UP16GB (8GB+8GB) NFC TWS,OPPO,Pekanbaru,3399000,2,4.5
VIVO Y73S RAM 8GB ROM 256GB 5G SMARTPHONE GARANSI 1 TAHUN,VIVO,Jakarta Barat,1250000,80,4.4
REALME C53 6/128 GB RAM 6 ROM 128 6GB 128GB GARANSI RESMI,REALME,Jakarta Utara,1793000,70,5.0
VIVO Y17S 4GB/128GB 6GB/128GB - 4GB/64GB,VIVO,Medan,1345000,7,5.0
VIVO Y16 4/32 GARANSI RESMI,VIVO,Kab. Bekasi,1179000,1,5.0
VIVO Y27 6/128GB 6.64INCI 44W FLASHCHARGE 50MP KAMERA GARANSI RESMI,VIVO,Jakarta Utara,1944000,40,5.0
OPPO RENO8 5G 8GB/256GB RENO 8 4500MAH FLAGSHIP SENSOR GARANSI RESMI,OPPO,Jakarta Pusat,3327000,100,4.9
 VIVO Y72 RAM 12 ROM 256GB 5G SMARTPHONE GARANSI 1TAHUN,VIVO,Jakarta Barat,1300000,7,5.0
OPPO A58 8GB/128GB NFC GARANSI RESMI,OPPO,Jakarta Timur,2799000,13,4.8
OPPO A78 NFC 8/256 OPPO A 78 NFC 8/256 GARANSI RESMI INDONESIA,OPPO,Bekasi,3399000,14,4.8
OPPO A58 6/128 8/128 RAM 6GB 8GB ROM 128GB 6 8 128 GB,OPPO,Jakarta Utara,2165000,2,5.0
OPPO A17 8/64GB ( 4GB + 4GB EXTENSION RAM ) GARANSI RESMI,OPPO,Bekasi,2099000,9,5.0
VIVO Y27S 8/128GB [+8GB EXTENDED RAM] NFC GARANSI RESMI VIVO 1 TAHUN,VIVO,Malang,2051500,7,4.8
VIVO V29E 5G 12/256GB 8/256GB NFC 100% ORIGINAL  GARANSI RESMI TERBARU,VIVO,Jakarta Utara,3749000,5,5.0
VIVO Y27S 8/128 8/256 NFC 44W FLASHCHARGE SNAPDRAGON 680 GARANSI RESMI,VIVO,Jakarta Utara,2064000,70,5.0
VIVO V29 V29E V27E BARU 100% ORIGINAL GARANSI RESMI SEGEL UTUH,VIVO,Jakarta Utara,3696000,23,5.0
"OPPO A78 LTE (RAM 8GB, ROM 256GB, SNAPDRAGON 680)",OPPO,Malang,3599000,1,5.0
REALME 11 8/256 REALME11 4G NFC 8/256 GARANSI RESMI INDONESIA,REALME,Bekasi,3299000,20,4.9
REDMI 10 4/64GB 2022 EX DISPLAY / EX DEMO  ONLY,REDMI,Jakarta Utara,1099000,30,5.0
T.E.R.E.A  ANDROID - RUBY REGULAR,T.E.R.E.A,Jakarta Utara,1325000,1,5.0
"OPPO A18 (RAM 4, ROM 128, REFRESH RATE 90HZ)",OPPO,Malang,1499000,4,5.0
VIVO Y27S NFC 8/256 GB 8/128 GB GARANSI RESMI Y17 S NOT Y22 Y27 Y36,VIVO,Jakarta Pusat,1993000,100,4.9
OPPO A17 8/64GB ( 4GB + 4GB EXTENSION RAM ) GARANSI RESMI,OPPO,Bekasi,2099000,9,5.0
"VIVO V29E 5G 8/256 RAM 8 ROM 256 GB 8GB 256GB SMARTPHONE GARANSI RESMI - ROSE GOLD, 8/256GB",VIVO,Jakarta Utara,3785000,3,5.0
VIVO Y36 5G | NFC | RAM 8/256 GB GARANSI RESMI VIVO INDONESIA,VIVO,Tangerang,2889000,8,4.8
VIVO V29 V29E V27E BARU 100% ORIGINAL GARANSI RESMI SEGEL UTUH,VIVO,Jakarta Utara,3696000,23,5.0
